feedback_id,viewing_id,applicant_id,property_id,timestamp,rating,sentiment,objections,comments
F-20,V-21,A-1002,P-2926,2026-06-17 15:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-21,V-23,A-1003,P-1145,2026-06-02 09:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Camden location, with questions about tenancy terms."
F-22,V-24,A-1003,P-2092,2026-05-21 12:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-23,V-25,A-1003,P-2443,2026-06-02 09:00:00,4,0.5,PRICE|TERMS,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-24,V-26,A-1003,P-1063,2026-07-24 16:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Camden location, with questions about tenancy terms."
F-25,V-27,A-1003,P-1954,2026-06-07 17:00:00,4,0.5,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-26,V-28,A-1004,P-1032,2026-07-02 16:00:00,3,0.0,PRICE,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-27,V-29,A-1004,P-2705,2026-06-27 11:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Shoreditch location, with questions about tenancy terms."
F-28,V-30,A-1004,P-2040,2026-05-28 17:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Shoreditch location, with questions about tenancy terms."
F-29,V-31,A-1004,P-1598,2026-08-03 10:00:00,4,0.5,PRICE|TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Chelsea location, with questions about tenancy terms."
F-30,V-32,A-1004,P-2387,2026-05-31 12:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Shoreditch location, with questions about tenancy terms."
F-31,V-34,A-1005,P-2619,2026-07-26 09:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-32,V-35,A-1005,P-2723,2026-05-17 09:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-33,V-36,A-1005,P-1272,2026-06-10 16:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-34,V-37,A-1006,P-2765,2026-06-27 16:00:00,4,0.5,PRICE|TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Chelsea location, with questions about tenancy terms."
F-35,V-38,A-1006,P-2129,2026-05-08 10:00:00,2,-0.5,PRICE|AREA,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-36,V-39,A-1006,P-2640,2026-07-23 13:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-37,V-40,A-1007,P-1353,2026-08-10 12:00:00,3,0.0,TRANSPORT,Applicant had reservations and asked for better matching alternatives.
F-38,V-41,A-1007,P-1148,2026-08-03 16:00:00,5,1.0,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-39,V-42,A-1007,P-1629,2026-05-18 09:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Camden location, with questions about tenancy terms."
F-40,V-43,A-1008,P-2680,2026-07-24 11:00:00,5,1.0,PRICE,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-41,V-44,A-1008,P-1259,2026-07-01 11:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-42,V-45,A-1008,P-2341,2026-07-06 10:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-43,V-46,A-1008,P-1347,2026-06-17 16:00:00,5,1.0,PRICE,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-44,V-47,A-1009,P-1374,2026-06-16 09:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-45,V-48,A-1009,P-2870,2026-05-09 09:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Camden location, with questions about tenancy terms."
F-46,V-49,A-1009,P-1505,2026-06-19 15:00:00,2,-0.5,PRICE|SIZE,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-47,V-51,A-1009,P-1615,2026-06-11 17:00:00,3,0.0,PRICE|TRANSPORT,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-48,V-52,A-1010,P-2276,2026-07-11 10:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-49,V-53,A-1011,P-1043,2026-07-19 10:00:00,5,1.0,PRICE|TERMS,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-50,V-54,A-1011,P-1487,2026-08-09 16:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Shoreditch location, with questions about tenancy terms."
F-51,V-56,A-1011,P-1639,2026-07-04 17:00:00,5,1.0,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-52,V-57,A-1012,P-1566,2026-07-01 10:00:00,3,0.0,PRICE,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-53,V-58,A-1012,P-2802,2026-06-07 14:00:00,3,0.0,PRICE|TRANSPORT,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-54,V-59,A-1013,P-2801,2026-07-28 14:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-55,V-60,A-1013,P-2985,2026-05-17 12:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-56,V-61,A-1013,P-2356,2026-07-24 15:00:00,3,0.0,PRICE,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-57,V-62,A-1014,P-2055,2026-07-25 13:00:00,3,0.0,PRICE,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-58,V-63,A-1014,P-1388,2026-05-25 13:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Hackney location, with questions about tenancy terms."
F-59,V-64,A-1014,P-2031,2026-08-03 17:00:00,5,1.0,PRICE,"Positive viewing feedback. Applicant liked the layout and Hackney location, with questions about tenancy terms."
F-60,V-65,A-1014,P-1113,2026-07-01 10:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-61,V-66,A-1014,P-2482,2026-08-05 16:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Hackney location, with questions about tenancy terms."
F-62,V-67,A-1014,P-1925,2026-06-25 10:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-63,V-68,A-1014,P-1029,2026-06-27 16:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Hackney location, with questions about tenancy terms."
F-64,V-69,A-1015,P-2311,2026-08-07 10:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Camden location, with questions about tenancy terms."
F-65,V-70,A-1015,P-1040,2026-07-02 15:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-66,V-71,A-1015,P-2733,2026-07-30 11:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-67,V-74,A-1016,P-1252,2026-06-05 12:00:00,3,0.0,PRICE,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-68,V-76,A-1016,P-1733,2026-05-27 09:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-69,V-78,A-1016,P-2154,2026-07-31 13:00:00,4,0.5,PRICE|TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-70,V-79,A-1017,P-1699,2026-07-21 15:00:00,1,-1.0,PRICE|AREA,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-71,V-80,A-1017,P-2916,2026-06-14 12:00:00,2,-0.5,PRICE|CONDITION,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-72,V-81,A-1018,P-1660,2026-06-05 11:00:00,3,0.0,PRICE,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-73,V-82,A-1018,P-1974,2026-08-11 17:00:00,5,1.0,TERMS,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-74,V-83,A-1018,P-2519,2026-06-19 17:00:00,3,0.0,PRICE,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-75,V-85,A-1019,P-2051,2026-07-26 11:00:00,4,0.5,TERMS,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-76,V-86,A-1020,P-1943,2026-07-24 10:00:00,5,1.0,TERMS,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-77,V-87,A-1020,P-1578,2026-08-06 10:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-78,V-88,A-1020,P-1369,2026-05-15 16:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Shoreditch location, with questions about tenancy terms."
F-79,V-89,A-1020,P-2498,2026-05-23 09:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-80,V-90,A-1020,P-1946,2026-06-05 11:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-81,V-91,A-1021,P-2341,2026-07-26 11:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-82,V-92,A-1021,P-1975,2026-06-29 11:00:00,3,0.0,PRICE|TRANSPORT,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-83,V-93,A-1021,P-1178,2026-07-30 15:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-84,V-94,A-1021,P-1640,2026-05-16 13:00:00,4,0.5,PRICE|TERMS,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-85,V-95,A-1022,P-2470,2026-05-28 16:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-86,V-96,A-1022,P-1148,2026-07-07 17:00:00,5,1.0,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-87,V-97,A-1022,P-1099,2026-07-30 16:00:00,4,0.5,PRICE|TRANSPORT|TERMS,"Positive viewing feedback. Applicant liked the layout and Fulham location, with questions about tenancy terms."
F-88,V-98,A-1022,P-1481,2026-07-19 13:00:00,5,1.0,PRICE,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-89,V-99,A-1022,P-2409,2026-07-10 15:00:00,4,0.5,PRICE|TERMS,"Positive viewing feedback. Applicant liked the layout and Fulham location, with questions about tenancy terms."
F-90,V-100,A-1023,P-2532,2026-07-02 11:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-91,V-102,A-1023,P-2067,2026-07-15 15:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-92,V-103,A-1024,P-2299,2026-07-14 15:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-93,V-104,A-1024,P-1293,2026-07-19 15:00:00,5,1.0,TERMS,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-94,V-105,A-1024,P-2160,2026-05-25 11:00:00,5,1.0,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-95,V-106,A-1025,P-1387,2026-05-18 13:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Shoreditch location, with questions about tenancy terms."
F-96,V-107,A-1025,P-2187,2026-07-25 14:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-97,V-108,A-1025,P-2761,2026-05-04 12:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-98,V-110,A-1026,P-1167,2026-06-21 10:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Shoreditch location, with questions about tenancy terms."
F-99,V-111,A-1026,P-1487,2026-07-26 13:00:00,5,1.0,PRICE,"Positive viewing feedback. Applicant liked the layout and Shoreditch location, with questions about tenancy terms."
F-100,V-112,A-1027,P-1592,2026-05-30 16:00:00,4,0.5,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Clapham location, with questions about tenancy terms."
F-101,V-113,A-1027,P-1305,2026-07-15 14:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Clapham location, with questions about tenancy terms."
F-102,V-114,A-1027,P-1318,2026-07-06 09:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Clapham location, with questions about tenancy terms."
F-103,V-115,A-1028,P-2644,2026-05-26 16:00:00,4,0.5,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Clapham location, with questions about tenancy terms."
F-104,V-116,A-1029,P-2706,2026-06-23 09:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Fulham location, with questions about tenancy terms."
F-105,V-117,A-1029,P-2101,2026-07-27 09:00:00,2,-0.5,PRICE|CONDITION,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-106,V-118,A-1029,P-2484,2026-07-01 16:00:00,4,0.5,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Islington location, with questions about tenancy terms."
F-107,V-119,A-1029,P-2672,2026-07-07 10:00:00,3,0.0,TRANSPORT,Applicant had reservations and asked for better matching alternatives.
F-108,V-120,A-1029,P-2032,2026-07-17 14:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-109,V-122,A-1030,P-1182,2026-08-09 17:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-110,V-123,A-1030,P-2587,2026-05-15 17:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-111,V-124,A-1030,P-1621,2026-05-15 15:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-112,V-125,A-1030,P-2439,2026-06-30 17:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-113,V-126,A-1031,P-2835,2026-07-26 09:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-114,V-127,A-1031,P-1533,2026-05-23 17:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-115,V-128,A-1031,P-1977,2026-06-11 12:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Hackney location, with questions about tenancy terms."
F-116,V-129,A-1031,P-2331,2026-06-03 17:00:00,4,0.5,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-117,V-130,A-1031,P-1245,2026-07-05 10:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-118,V-131,A-1031,P-1643,2026-06-26 17:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-119,V-132,A-1031,P-1921,2026-08-01 11:00:00,5,1.0,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-120,V-133,A-1032,P-2281,2026-07-27 09:00:00,5,1.0,PRICE,"Positive viewing feedback. Applicant liked the layout and Battersea location, with questions about tenancy terms."
F-121,V-134,A-1032,P-2688,2026-08-03 09:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-122,V-135,A-1032,P-2756,2026-07-31 12:00:00,4,0.5,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-123,V-136,A-1032,P-2167,2026-06-16 14:00:00,5,1.0,TERMS,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-124,V-137,A-1032,P-1347,2026-08-09 13:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-125,V-138,A-1033,P-2638,2026-06-20 16:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-126,V-139,A-1033,P-1856,2026-07-27 14:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-127,V-140,A-1033,P-1056,2026-07-29 12:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-128,V-141,A-1033,P-1390,2026-07-21 11:00:00,5,1.0,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-129,V-142,A-1033,P-2072,2026-08-09 16:00:00,5,1.0,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-130,V-143,A-1034,P-2704,2026-05-22 16:00:00,5,1.0,TERMS,"Positive viewing feedback. Applicant liked the layout and Croydon location, with questions about tenancy terms."
F-131,V-144,A-1034,P-2486,2026-07-31 09:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-132,V-145,A-1036,P-1287,2026-05-06 11:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Stratford location, with questions about tenancy terms."
F-133,V-146,A-1036,P-2039,2026-07-05 15:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-134,V-147,A-1036,P-1174,2026-07-18 14:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Stratford location, with questions about tenancy terms."
F-135,V-148,A-1036,P-1507,2026-08-07 10:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-136,V-149,A-1036,P-1123,2026-05-03 09:00:00,5,1.0,PRICE,"Positive viewing feedback. Applicant liked the layout and Stratford location, with questions about tenancy terms."
F-137,V-150,A-1036,P-2681,2026-05-09 14:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-138,V-151,A-1036,P-1232,2026-07-25 13:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-139,V-152,A-1037,P-2420,2026-05-15 11:00:00,4,0.5,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Clapham location, with questions about tenancy terms."
F-140,V-153,A-1037,P-1142,2026-07-16 11:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Stratford location, with questions about tenancy terms."
F-141,V-155,A-1037,P-2753,2026-05-17 14:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-142,V-156,A-1038,P-2202,2026-05-09 13:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Clapham location, with questions about tenancy terms."
F-143,V-157,A-1038,P-1294,2026-07-21 09:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Hackney location, with questions about tenancy terms."
F-144,V-158,A-1038,P-2481,2026-08-11 10:00:00,5,1.0,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Hackney location, with questions about tenancy terms."
F-145,V-159,A-1038,P-2856,2026-05-24 14:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-146,V-160,A-1039,P-2044,2026-07-23 14:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-147,V-161,A-1039,P-2924,2026-05-15 10:00:00,5,1.0,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Hackney location, with questions about tenancy terms."
F-148,V-162,A-1039,P-2145,2026-06-06 13:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Hackney location, with questions about tenancy terms."
F-149,V-164,A-1039,P-2646,2026-06-08 13:00:00,4,0.5,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Hackney location, with questions about tenancy terms."
F-150,V-165,A-1039,P-1973,2026-07-10 15:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Fulham location, with questions about tenancy terms."
F-151,V-166,A-1039,P-1944,2026-05-12 12:00:00,3,0.0,PRICE,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-152,V-167,A-1039,P-2131,2026-05-30 16:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Fulham location, with questions about tenancy terms."
F-153,V-168,A-1040,P-1360,2026-07-23 16:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-154,V-169,A-1040,P-2310,2026-05-15 09:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Stratford location, with questions about tenancy terms."
F-155,V-170,A-1040,P-1259,2026-06-06 11:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Wimbledon location, with questions about tenancy terms."
F-156,V-171,A-1041,P-2473,2026-06-04 16:00:00,5,1.0,TERMS,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-157,V-172,A-1041,P-1799,2026-07-18 10:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-158,V-173,A-1041,P-2739,2026-07-15 10:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-159,V-174,A-1041,P-2577,2026-06-17 10:00:00,4,0.5,PRICE|TERMS,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-160,V-175,A-1042,P-1709,2026-08-07 10:00:00,3,0.0,PRICE,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-161,V-176,A-1042,P-1588,2026-05-22 11:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Hackney location, with questions about tenancy terms."
F-162,V-177,A-1043,P-1683,2026-06-26 13:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-163,V-178,A-1043,P-1400,2026-05-31 10:00:00,3,0.0,TRANSPORT,Applicant had reservations and asked for better matching alternatives.
F-164,V-181,A-1045,P-1180,2026-06-08 13:00:00,3,0.0,PRICE|TRANSPORT,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-165,V-182,A-1046,P-1913,2026-05-04 15:00:00,5,1.0,PRICE|TERMS,"Positive viewing feedback. Applicant liked the layout and Stratford location, with questions about tenancy terms."
F-166,V-183,A-1046,P-2235,2026-07-20 09:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-167,V-184,A-1046,P-1475,2026-08-11 15:00:00,5,1.0,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Stratford location, with questions about tenancy terms."
F-168,V-185,A-1046,P-1288,2026-08-06 11:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-169,V-186,A-1047,P-2512,2026-06-13 13:00:00,5,1.0,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Camden location, with questions about tenancy terms."
F-170,V-187,A-1047,P-1087,2026-05-16 17:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-171,V-188,A-1047,P-2740,2026-06-29 15:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Camden location, with questions about tenancy terms."
F-172,V-189,A-1047,P-2642,2026-06-25 13:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Camden location, with questions about tenancy terms."
F-173,V-190,A-1048,P-2314,2026-07-12 11:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Islington location, with questions about tenancy terms."
F-174,V-191,A-1048,P-2944,2026-08-09 16:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Islington location, with questions about tenancy terms."
F-175,V-192,A-1049,P-1799,2026-05-07 17:00:00,4,0.5,TRANSPORT|TERMS,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-176,V-193,A-1049,P-2549,2026-07-14 13:00:00,5,1.0,TERMS,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-177,V-195,A-1049,P-2199,2026-06-04 15:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
F-178,V-196,A-1050,P-2879,2026-07-02 16:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Fulham location, with questions about tenancy terms."
F-179,V-197,A-1050,P-2525,2026-08-11 12:00:00,5,1.0,TERMS,"Positive viewing feedback. Applicant liked the layout and Greenwich location, with questions about tenancy terms."
