property_id,postcode,city,area,property_type,bedrooms,bathrooms,rent_pcm,sale_price,size_sqft,furnished,parking,garden,balcony,pets_allowed,available_date,amenities,description,latitude,longitude
P-1033,EC2A 8GK,London,Shoreditch,studio,0,1,3075,,622,True,True,True,True,False,2026-10-15,balcony|garden|gym|parking|river-view|workspace,"A well-presented 0-bed studio in Shoreditch priced at £3075 pcm. Highlights include balcony, garden, gym, parking, river-view, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.545989,-0.066571
P-1034,SW11 8AN,London,Battersea,flat,2,2,4250,,863,False,False,False,True,True,2026-08-08,balcony|concierge|pet-friendly,"A well-presented 2-bed flat in Battersea priced at £4250 pcm. Highlights include balcony, concierge, pet-friendly. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.454786,-0.188048
P-1035,SW3 9GN,London,Chelsea,flat,3,3,5750,,1233,False,True,True,True,True,2026-08-13,balcony|garden|parking|pet-friendly|school|workspace,"A well-presented 3-bed flat in Chelsea priced at £5750 pcm. Highlights include balcony, garden, parking, pet-friendly, school, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.497365,-0.134558
P-1036,SW11 2EK,London,Battersea,house,1,1,3275,,618,True,False,True,True,True,2026-09-04,balcony|garden|pet-friendly|river-view|school|workspace,"A well-presented 1-bed house in Battersea priced at £3275 pcm. Highlights include balcony, garden, pet-friendly, river-view, school, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.474344,-0.172013
P-1037,NW1 6HM,London,Camden,house,2,2,3625,,1056,True,True,True,True,False,2026-08-19,balcony|concierge|workspace,"A well-presented 2-bed house in Camden priced at £3625 pcm. Highlights include balcony, concierge, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.535824,-0.093637
P-1038,E8 7DM,London,Hackney,flat,1,1,2675,,758,True,False,False,False,True,2026-08-27,pet-friendly|river-view|workspace,"A well-presented 1-bed flat in Hackney priced at £2675 pcm. Highlights include pet-friendly, river-view, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.545504,-0.057771
P-1039,E8 9AM,London,Hackney,flat,1,2,2875,,737,False,True,False,True,True,2026-10-04,balcony|concierge|gym|parking|pet-friendly|school,"A well-presented 1-bed flat in Hackney priced at £2875 pcm. Highlights include balcony, concierge, gym, parking, pet-friendly, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.550679,-0.056611
P-1040,CR0 7EM,London,Croydon,flat,4,3,3350,,1522,True,False,False,True,False,2026-08-03,balcony|concierge|river-view|school|transport|workspace,"A well-presented 4-bed flat in Croydon priced at £3350 pcm. Highlights include balcony, concierge, river-view, school, transport, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.388747,-0.104359
P-1041,SW3 1DK,London,Chelsea,flat,1,1,4675,,580,False,True,False,True,False,2026-10-11,balcony|gym|parking,"A well-presented 1-bed flat in Chelsea priced at £4675 pcm. Highlights include balcony, gym, parking. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.489578,-0.161764
P-1042,SE10 2CL,London,Greenwich,flat,2,2,3175,,875,True,True,False,True,True,2026-10-06,balcony|concierge|gym|parking|pet-friendly|river-view,"A well-presented 2-bed flat in Greenwich priced at £3175 pcm. Highlights include balcony, concierge, gym, parking, pet-friendly, river-view. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.495289,-0.006776
P-1043,E14 5BN,London,Canary Wharf,maisonette,3,3,4425,,1284,True,True,True,True,True,2026-09-06,balcony|garden|gym|parking|pet-friendly|river-view,"A well-presented 3-bed maisonette in Canary Wharf priced at £4425 pcm. Highlights include balcony, garden, gym, parking, pet-friendly, river-view. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.488868,-0.040381
P-1044,SW6 6HP,London,Fulham,flat,3,3,4675,,1220,False,True,False,True,True,2026-09-17,balcony|gym|parking|school|transport,"A well-presented 3-bed flat in Fulham priced at £4675 pcm. Highlights include balcony, gym, parking, school, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.480287,-0.179306
P-1045,SE10 4BL,London,Greenwich,house,2,2,3250,,1030,False,False,True,True,True,2026-08-24,balcony|pet-friendly|river-view|school|workspace,"A well-presented 2-bed house in Greenwich priced at £3250 pcm. Highlights include balcony, pet-friendly, river-view, school, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.494048,0.004025
P-1046,SW4 5FL,London,Clapham,flat,3,3,3850,,1079,True,True,False,False,True,2026-10-21,concierge|gym|parking|pet-friendly|river-view|transport,"A well-presented 3-bed flat in Clapham priced at £3850 pcm. Highlights include concierge, gym, parking, pet-friendly, river-view, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.46458,-0.153407
P-1047,N1 4HP,London,Islington,studio,0,1,3400,,530,True,False,False,True,False,2026-09-24,balcony|gym|school,"A well-presented 0-bed studio in Islington priced at £3400 pcm. Highlights include balcony, gym, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.554735,-0.134829
P-1048,SW3 6HN,London,Chelsea,studio,0,1,3975,,653,True,False,True,True,False,2026-09-06,balcony|garden|gym,"A well-presented 0-bed studio in Chelsea priced at £3975 pcm. Highlights include balcony, garden, gym. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.506225,-0.166386
P-1049,E8 6BP,London,Hackney,maisonette,1,2,2750,,697,True,True,True,False,True,2026-10-20,concierge|garden|parking|pet-friendly|river-view,"A well-presented 1-bed maisonette in Hackney priced at £2750 pcm. Highlights include concierge, garden, parking, pet-friendly, river-view. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.545547,-0.067029
P-1050,SE10 5AJ,London,Greenwich,flat,2,3,3475,,1006,True,True,True,True,False,2026-08-30,concierge|garden|gym|school|transport|workspace,"A well-presented 2-bed flat in Greenwich priced at £3475 pcm. Highlights include concierge, garden, gym, school, transport, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.482782,0.000257
P-1051,SW11 1EM,London,Battersea,maisonette,1,1,3450,,748,True,True,True,True,True,2026-08-01,balcony|garden|gym|parking|pet-friendly|transport,"A well-presented 1-bed maisonette in Battersea priced at £3450 pcm. Highlights include balcony, garden, gym, parking, pet-friendly, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.45429,-0.169765
P-1052,E8 4GM,London,Hackney,studio,0,1,2300,,812,True,False,True,False,False,2026-08-31,concierge|garden|gym|river-view|transport|workspace,"A well-presented 0-bed studio in Hackney priced at £2300 pcm. Highlights include concierge, garden, gym, river-view, transport, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.540989,-0.061021
P-1053,SW19 4CN,London,Wimbledon,maisonette,1,1,3500,,712,True,False,False,True,True,2026-08-13,gym|pet-friendly|river-view|transport|workspace,"A well-presented 1-bed maisonette in Wimbledon priced at £3500 pcm. Highlights include gym, pet-friendly, river-view, transport, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.406269,-0.189878
P-1054,E14 8BP,London,Canary Wharf,flat,4,3,4675,,1592,True,True,True,True,True,2026-08-26,balcony|concierge|garden|parking|pet-friendly|transport,"A well-presented 4-bed flat in Canary Wharf priced at £4675 pcm. Highlights include balcony, concierge, garden, parking, pet-friendly, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.489478,0.009687
P-1055,SW4 3BJ,London,Clapham,house,1,1,3600,,623,True,True,True,True,True,2026-09-01,balcony|gym|parking|pet-friendly,"A well-presented 1-bed house in Clapham priced at £3600 pcm. Highlights include balcony, gym, parking, pet-friendly. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.467926,-0.124057
P-1056,SW19 2AM,London,Wimbledon,house,2,3,3450,,865,True,True,False,False,False,2026-09-03,concierge|gym|parking|river-view|workspace,"A well-presented 2-bed house in Wimbledon priced at £3450 pcm. Highlights include concierge, gym, parking, river-view, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.405861,-0.208292
P-1057,SW19 9HL,London,Wimbledon,flat,2,2,3875,,825,True,False,True,True,True,2026-10-06,balcony|garden|transport,"A well-presented 2-bed flat in Wimbledon priced at £3875 pcm. Highlights include balcony, garden, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.416119,-0.204047
P-1058,E8 6GP,London,Hackney,flat,2,2,3375,,1127,True,True,False,True,False,2026-08-29,balcony|concierge|gym|parking|river-view|school,"A well-presented 2-bed flat in Hackney priced at £3375 pcm. Highlights include balcony, concierge, gym, parking, river-view, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.54986,-0.038925
P-1059,CR0 9AP,London,Croydon,maisonette,1,2,2225,,631,True,True,False,True,False,2026-09-21,gym|parking|river-view,"A well-presented 1-bed maisonette in Croydon priced at £2225 pcm. Highlights include gym, parking, river-view. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.377038,-0.105136
P-1060,E8 8HJ,London,Hackney,flat,4,3,3725,,1562,True,False,False,False,True,2026-10-12,pet-friendly|river-view|school|transport|workspace,"A well-presented 4-bed flat in Hackney priced at £3725 pcm. Highlights include pet-friendly, river-view, school, transport, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.537618,-0.017296
P-1061,SW19 2CM,London,Wimbledon,house,2,3,3425,,987,True,False,True,False,True,2026-08-30,garden|school|transport|workspace,"A well-presented 2-bed house in Wimbledon priced at £3425 pcm. Highlights include garden, school, transport, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.424772,-0.217609
P-1062,SW6 9CJ,London,Fulham,studio,0,1,3525,,642,True,False,False,True,True,2026-09-15,balcony|gym|pet-friendly|river-view|school,"A well-presented 0-bed studio in Fulham priced at £3525 pcm. Highlights include balcony, gym, pet-friendly, river-view, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.472533,-0.201399
P-1063,NW1 8HL,London,Camden,maisonette,2,2,3850,,964,True,False,True,False,True,2026-10-02,garden|pet-friendly|river-view|school|transport,"A well-presented 2-bed maisonette in Camden priced at £3850 pcm. Highlights include garden, pet-friendly, river-view, school, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.548754,-0.131267
P-1064,SW4 6HP,London,Clapham,flat,1,1,3425,,623,False,True,True,True,False,2026-09-11,balcony|garden|gym|parking|river-view|school,"A well-presented 1-bed flat in Clapham priced at £3425 pcm. Highlights include balcony, garden, gym, parking, river-view, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.441148,-0.15997
P-1065,CR0 2HJ,London,Croydon,house,3,3,3175,,1183,False,False,True,True,False,2026-08-11,concierge|garden|river-view|transport,"A well-presented 3-bed house in Croydon priced at £3175 pcm. Highlights include concierge, garden, river-view, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.373588,-0.078422
P-1066,E8 9GL,London,Hackney,house,3,3,3675,,1220,True,False,True,True,False,2026-09-24,concierge|garden|gym|river-view,"A well-presented 3-bed house in Hackney priced at £3675 pcm. Highlights include concierge, garden, gym, river-view. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.545146,-0.038543
P-1067,SW6 2HK,London,Fulham,flat,3,3,4775,,1175,False,False,True,True,True,2026-08-31,balcony|garden|workspace,"A well-presented 3-bed flat in Fulham priced at £4775 pcm. Highlights include balcony, garden, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.48389,-0.197343
P-1068,E14 3CK,London,Canary Wharf,flat,4,3,5075,,1545,True,True,True,True,False,2026-10-10,garden|parking|school,"A well-presented 4-bed flat in Canary Wharf priced at £5075 pcm. Highlights include garden, parking, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.483895,-0.031542
P-1069,E8 8EP,London,Hackney,flat,1,2,3225,,743,True,False,False,True,False,2026-08-13,balcony|concierge|river-view|workspace,"A well-presented 1-bed flat in Hackney priced at £3225 pcm. Highlights include balcony, concierge, river-view, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.552489,-0.04399
P-1070,E20 7HJ,London,Stratford,flat,1,1,2600,,679,True,True,True,True,True,2026-09-10,concierge|garden|parking|pet-friendly|workspace,"A well-presented 1-bed flat in Stratford priced at £2600 pcm. Highlights include concierge, garden, parking, pet-friendly, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.51622,0.028568
P-1071,SW19 1HL,London,Wimbledon,flat,3,3,3675,,1174,True,False,True,False,True,2026-10-09,concierge|garden|pet-friendly|school|transport,"A well-presented 3-bed flat in Wimbledon priced at £3675 pcm. Highlights include concierge, garden, pet-friendly, school, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.426355,-0.216547
P-1072,SW4 8AN,London,Clapham,flat,2,2,3600,,956,True,True,True,False,True,2026-08-09,concierge|garden|parking|workspace,"A well-presented 2-bed flat in Clapham priced at £3600 pcm. Highlights include concierge, garden, parking, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.469309,-0.122294
P-1073,E20 9EK,London,Stratford,house,1,1,2400,,567,False,False,True,True,True,2026-09-23,balcony|concierge|garden|gym|pet-friendly,"A well-presented 1-bed house in Stratford priced at £2400 pcm. Highlights include balcony, concierge, garden, gym, pet-friendly. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.532679,-0.007142
P-1074,SW4 9FJ,London,Clapham,flat,3,3,3600,,1325,False,False,False,False,True,2026-07-25,gym|pet-friendly|river-view|school|workspace,"A well-presented 3-bed flat in Clapham priced at £3600 pcm. Highlights include gym, pet-friendly, river-view, school, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.458972,-0.138082
P-1075,N1 1FN,London,Islington,flat,2,2,3750,,873,True,True,True,True,True,2026-10-14,concierge|garden|parking|pet-friendly|river-view|workspace,"A well-presented 2-bed flat in Islington priced at £3750 pcm. Highlights include concierge, garden, parking, pet-friendly, river-view, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.552732,-0.078211
P-1076,E20 2DN,London,Stratford,flat,4,3,3700,,1392,True,True,True,False,True,2026-09-11,garden|gym|parking|pet-friendly|river-view|transport,"A well-presented 4-bed flat in Stratford priced at £3700 pcm. Highlights include garden, gym, parking, pet-friendly, river-view, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.537182,0.004938
P-1077,SW3 5AP,London,Chelsea,flat,4,3,5975,,1461,True,True,False,True,True,2026-08-20,balcony|concierge|parking|pet-friendly|transport|workspace,"A well-presented 4-bed flat in Chelsea priced at £5975 pcm. Highlights include balcony, concierge, parking, pet-friendly, transport, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.488672,-0.182614
P-1078,SW3 5DJ,London,Chelsea,flat,4,3,6500,,1492,False,True,True,False,True,2026-08-04,garden|gym|parking|workspace,"A well-presented 4-bed flat in Chelsea priced at £6500 pcm. Highlights include garden, gym, parking, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.482317,-0.135221
P-1079,CR0 4BN,London,Croydon,flat,2,2,2825,,954,False,True,False,True,False,2026-10-07,balcony|parking|transport,"A well-presented 2-bed flat in Croydon priced at £2825 pcm. Highlights include balcony, parking, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.402478,-0.112749
P-1080,EC2A 3BP,London,Shoreditch,house,1,1,3400,,571,False,True,True,True,True,2026-08-09,concierge|parking|school|transport,"A well-presented 1-bed house in Shoreditch priced at £3400 pcm. Highlights include concierge, parking, school, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.535991,-0.107682
P-1081,E14 9BP,London,Canary Wharf,studio,0,1,2950,,830,True,True,False,True,False,2026-09-22,balcony|concierge|gym|parking|transport,"A well-presented 0-bed studio in Canary Wharf priced at £2950 pcm. Highlights include balcony, concierge, gym, parking, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.516805,-0.033884
P-1082,SW3 9EM,London,Chelsea,house,2,3,5250,,1058,False,True,False,True,False,2026-07-27,balcony|river-view|school,"A well-presented 2-bed house in Chelsea priced at £5250 pcm. Highlights include balcony, river-view, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.495903,-0.171081
P-1083,E14 6CJ,London,Canary Wharf,maisonette,3,3,4450,,1162,False,True,False,True,True,2026-08-28,balcony|gym|parking|pet-friendly|river-view|transport,"A well-presented 3-bed maisonette in Canary Wharf priced at £4450 pcm. Highlights include balcony, gym, parking, pet-friendly, river-view, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.484842,0.00087
