applicant_id,converted,intent_label
A-1427,1,VERY_HIGH
A-1428,0,HIGH
A-1429,0,HIGH
A-1430,0,HIGH
A-1431,0,HIGH
A-1432,1,VERY_HIGH
A-1433,0,HIGH
A-1434,1,VERY_HIGH
A-1435,0,HIGH
A-1436,1,VERY_HIGH
A-1437,0,VERY_HIGH
A-1438,0,HIGH
A-1439,0,HIGH
A-1440,1,VERY_HIGH
A-1441,0,HIGH
A-1442,0,VERY_HIGH
A-1443,0,HIGH
A-1444,1,VERY_HIGH
A-1445,0,HIGH
A-1446,1,VERY_HIGH
A-1447,0,HIGH
A-1448,1,VERY_HIGH
A-1449,1,VERY_HIGH
A-1450,0,HIGH
A-1451,1,VERY_HIGH
A-1452,0,HIGH
A-1453,0,HIGH
A-1454,0,HIGH
A-1455,0,HIGH
A-1456,0,HIGH
A-1457,0,HIGH
A-1458,0,HIGH
A-1459,0,HIGH
A-1460,0,VERY_HIGH
A-1461,1,VERY_HIGH
A-1462,1,VERY_HIGH
A-1463,0,VERY_HIGH
A-1464,1,VERY_HIGH
A-1465,1,VERY_HIGH
A-1466,0,HIGH
A-1467,1,VERY_HIGH
A-1468,0,HIGH
A-1469,0,HIGH
A-1470,0,VERY_HIGH
A-1471,0,HIGH
A-1472,0,HIGH
A-1473,0,HIGH
A-1474,0,VERY_HIGH
A-1475,0,VERY_HIGH
A-1476,1,VERY_HIGH
A-1477,1,VERY_HIGH
A-1478,0,VERY_HIGH
A-1479,1,VERY_HIGH
A-1480,1,VERY_HIGH
A-1481,0,HIGH
A-1482,0,VERY_HIGH
A-1483,0,HIGH
A-1484,0,HIGH
A-1485,1,VERY_HIGH
A-1486,1,VERY_HIGH
A-1487,0,HIGH
A-1488,0,HIGH
A-1489,1,VERY_HIGH
A-1490,0,HIGH
A-1491,1,VERY_HIGH
A-1492,1,VERY_HIGH
A-1493,1,VERY_HIGH
A-1494,1,VERY_HIGH
A-1495,1,VERY_HIGH
A-1496,1,VERY_HIGH
A-1497,0,HIGH
A-1498,0,HIGH
A-1499,1,VERY_HIGH
A-1500,1,VERY_HIGH
A-1501,0,VERY_HIGH
A-1502,1,VERY_HIGH
A-1503,0,HIGH
A-1504,1,VERY_HIGH
A-1505,0,HIGH
A-1506,0,HIGH
A-1507,0,VERY_HIGH
A-1508,0,HIGH
A-1509,0,HIGH
A-1510,1,VERY_HIGH
A-1511,1,VERY_HIGH
A-1512,1,VERY_HIGH
A-1513,1,VERY_HIGH
A-1514,1,VERY_HIGH
A-1515,0,HIGH
A-1516,1,VERY_HIGH
A-1517,1,VERY_HIGH
A-1518,0,VERY_HIGH
A-1519,1,VERY_HIGH
A-1520,1,VERY_HIGH
A-1521,0,HIGH
A-1522,1,VERY_HIGH
A-1523,1,VERY_HIGH
A-1524,1,VERY_HIGH
A-1525,0,HIGH
A-1526,1,VERY_HIGH
A-1527,0,HIGH
A-1528,1,VERY_HIGH
A-1529,0,HIGH
A-1530,0,HIGH
A-1531,1,VERY_HIGH
A-1532,1,VERY_HIGH
A-1533,1,VERY_HIGH
A-1534,1,VERY_HIGH
A-1535,1,VERY_HIGH
A-1536,1,VERY_HIGH
A-1537,1,VERY_HIGH
A-1538,0,VERY_HIGH
A-1539,1,VERY_HIGH
A-1540,0,HIGH
A-1541,1,VERY_HIGH
A-1542,0,HIGH
A-1543,1,VERY_HIGH
A-1544,1,VERY_HIGH
A-1545,0,HIGH
A-1546,0,VERY_HIGH
A-1547,0,HIGH
A-1548,0,HIGH
A-1549,0,HIGH
A-1550,1,VERY_HIGH
A-1551,1,VERY_HIGH
A-1552,1,VERY_HIGH
A-1553,0,HIGH
A-1554,1,VERY_HIGH
A-1555,0,VERY_HIGH
A-1556,1,VERY_HIGH
A-1557,0,HIGH
A-1558,1,VERY_HIGH
A-1559,0,HIGH
A-1560,0,HIGH
A-1561,0,HIGH
A-1562,0,VERY_HIGH
A-1563,1,VERY_HIGH
A-1564,1,VERY_HIGH
A-1565,1,VERY_HIGH
A-1566,1,VERY_HIGH
A-1567,1,VERY_HIGH
A-1568,1,VERY_HIGH
A-1569,0,HIGH
A-1570,1,VERY_HIGH
A-1571,0,HIGH
A-1572,0,VERY_HIGH
A-1573,1,VERY_HIGH
A-1574,1,VERY_HIGH
A-1575,1,VERY_HIGH
A-1576,1,VERY_HIGH
A-1577,1,VERY_HIGH
A-1578,1,VERY_HIGH
A-1579,1,VERY_HIGH
A-1580,0,VERY_HIGH
A-1581,0,HIGH
A-1582,1,VERY_HIGH
A-1583,1,VERY_HIGH
A-1584,1,VERY_HIGH
A-1585,0,HIGH
A-1586,1,VERY_HIGH
A-1587,0,HIGH
A-1588,0,VERY_HIGH
A-1589,0,HIGH
A-1590,0,HIGH
A-1591,0,HIGH
A-1592,0,VERY_HIGH
A-1593,1,VERY_HIGH
A-1594,1,VERY_HIGH
A-1595,0,HIGH
A-1596,0,VERY_HIGH
A-1597,1,VERY_HIGH
A-1598,0,HIGH
A-1599,0,HIGH
A-1600,0,VERY_HIGH
A-1601,0,HIGH
A-1602,0,HIGH
A-1603,1,VERY_HIGH
A-1604,0,HIGH
A-1605,0,HIGH
A-1606,1,VERY_HIGH
A-1607,0,HIGH
A-1608,1,VERY_HIGH
A-1609,1,VERY_HIGH
A-1610,0,HIGH
A-1611,0,HIGH
A-1612,1,VERY_HIGH
A-1613,0,HIGH
A-1614,0,VERY_HIGH
A-1615,1,VERY_HIGH
A-1616,1,VERY_HIGH
A-1617,0,HIGH
A-1618,1,VERY_HIGH
A-1619,0,HIGH
A-1620,0,HIGH
A-1621,0,VERY_HIGH
A-1622,1,VERY_HIGH
A-1623,0,HIGH
A-1624,0,VERY_HIGH
A-1625,0,VERY_HIGH
A-1626,1,VERY_HIGH
A-1627,1,VERY_HIGH
A-1628,1,VERY_HIGH
A-1629,0,HIGH
A-1630,1,VERY_HIGH
A-1631,1,VERY_HIGH
A-1632,1,VERY_HIGH
A-1633,1,VERY_HIGH
A-1634,1,VERY_HIGH
A-1635,1,VERY_HIGH
A-1636,1,VERY_HIGH
A-1637,0,HIGH
A-1638,0,HIGH
A-1639,1,VERY_HIGH
A-1640,1,VERY_HIGH
A-1641,1,VERY_HIGH
A-1642,1,VERY_HIGH
A-1643,1,VERY_HIGH
A-1644,1,VERY_HIGH
A-1645,1,VERY_HIGH
A-1646,0,HIGH
A-1647,1,VERY_HIGH
A-1648,1,VERY_HIGH
A-1649,1,VERY_HIGH
A-1650,1,VERY_HIGH
A-1651,1,VERY_HIGH
A-1652,1,VERY_HIGH
A-1653,0,HIGH
A-1654,1,VERY_HIGH
A-1655,1,VERY_HIGH
A-1656,0,HIGH
A-1657,1,VERY_HIGH
A-1658,1,VERY_HIGH
A-1659,0,HIGH
A-1660,1,VERY_HIGH
A-1661,0,HIGH
A-1662,1,VERY_HIGH
A-1663,0,HIGH
A-1664,0,VERY_HIGH
A-1665,1,VERY_HIGH
A-1666,0,HIGH
A-1667,1,VERY_HIGH
A-1668,1,VERY_HIGH
A-1669,1,VERY_HIGH
A-1670,0,HIGH
A-1671,0,VERY_HIGH
A-1672,0,HIGH
A-1673,0,HIGH
A-1674,1,VERY_HIGH
A-1675,1,VERY_HIGH
A-1676,1,VERY_HIGH
A-1677,1,VERY_HIGH
A-1678,0,VERY_HIGH
A-1679,1,VERY_HIGH
A-1680,1,VERY_HIGH
A-1681,1,VERY_HIGH
A-1682,0,HIGH
A-1683,0,HIGH
A-1684,1,VERY_HIGH
A-1685,0,HIGH
A-1686,1,VERY_HIGH
A-1687,0,VERY_HIGH
A-1688,1,VERY_HIGH
A-1689,1,VERY_HIGH
A-1690,0,HIGH
A-1691,1,VERY_HIGH
A-1692,1,VERY_HIGH
A-1693,0,HIGH
A-1694,0,HIGH
A-1695,0,HIGH
A-1696,1,VERY_HIGH
A-1697,1,VERY_HIGH
A-1698,1,VERY_HIGH
A-1699,0,HIGH
A-1700,1,VERY_HIGH
A-1701,0,HIGH
A-1702,1,VERY_HIGH
A-1703,1,VERY_HIGH
A-1704,1,VERY_HIGH
A-1705,1,VERY_HIGH
A-1706,1,VERY_HIGH
A-1707,1,VERY_HIGH
A-1708,0,HIGH
A-1709,0,HIGH
A-1710,1,VERY_HIGH
A-1711,1,VERY_HIGH
A-1712,0,HIGH
A-1713,0,VERY_HIGH
A-1714,0,VERY_HIGH
A-1715,0,HIGH
A-1716,1,VERY_HIGH
A-1717,0,HIGH
A-1718,0,HIGH
A-1719,0,HIGH
A-1720,1,VERY_HIGH
A-1721,0,VERY_HIGH
A-1722,0,HIGH
A-1723,1,VERY_HIGH
A-1724,1,VERY_HIGH
A-1725,1,VERY_HIGH
A-1726,0,HIGH
A-1727,1,VERY_HIGH
A-1728,0,HIGH
A-1729,1,VERY_HIGH
A-1730,0,HIGH
A-1731,0,HIGH
A-1732,0,HIGH
A-1733,1,VERY_HIGH
A-1734,1,VERY_HIGH
A-1735,0,VERY_HIGH
A-1736,1,VERY_HIGH
A-1737,0,VERY_HIGH
A-1738,0,VERY_HIGH
A-1739,0,HIGH
A-1740,0,VERY_HIGH
A-1741,0,HIGH
A-1742,1,VERY_HIGH
A-1743,1,VERY_HIGH
A-1744,1,VERY_HIGH
A-1745,1,VERY_HIGH
A-1746,0,HIGH
A-1747,1,VERY_HIGH
A-1748,1,VERY_HIGH
A-1749,0,HIGH
A-1750,1,VERY_HIGH
A-1751,0,VERY_HIGH
A-1752,0,VERY_HIGH
A-1753,0,VERY_HIGH
A-1754,1,VERY_HIGH
A-1755,1,VERY_HIGH
A-1756,1,VERY_HIGH
A-1757,0,HIGH
A-1758,0,HIGH
A-1759,1,VERY_HIGH
A-1760,1,VERY_HIGH
A-1761,1,VERY_HIGH
A-1762,0,HIGH
A-1763,1,VERY_HIGH
A-1764,1,VERY_HIGH
A-1765,1,VERY_HIGH
A-1766,1,VERY_HIGH
A-1767,1,VERY_HIGH
A-1768,1,VERY_HIGH
A-1769,1,VERY_HIGH
A-1770,1,VERY_HIGH
A-1771,1,VERY_HIGH
A-1772,1,VERY_HIGH
A-1773,0,VERY_HIGH
A-1774,0,HIGH
A-1775,0,HIGH
A-1776,1,VERY_HIGH
A-1777,1,VERY_HIGH
A-1778,1,VERY_HIGH
A-1779,0,HIGH
A-1780,0,HIGH
A-1781,0,MEDIUM
A-1782,1,VERY_HIGH
A-1783,1,VERY_HIGH
A-1784,0,HIGH
A-1785,1,VERY_HIGH
A-1786,1,VERY_HIGH
A-1787,0,MEDIUM
A-1788,1,VERY_HIGH
A-1789,0,HIGH
A-1790,1,VERY_HIGH
A-1791,1,VERY_HIGH
A-1792,1,VERY_HIGH
A-1793,0,HIGH
A-1794,1,VERY_HIGH
A-1795,0,HIGH
A-1796,0,HIGH
A-1797,0,HIGH
A-1798,0,HIGH
A-1799,1,VERY_HIGH
A-1800,0,HIGH
A-1801,0,HIGH
A-1802,1,VERY_HIGH
A-1803,0,HIGH
A-1804,0,HIGH
A-1805,1,VERY_HIGH
A-1806,1,VERY_HIGH
A-1807,1,VERY_HIGH
A-1808,0,HIGH
A-1809,0,VERY_HIGH
A-1810,1,VERY_HIGH
A-1811,0,HIGH
A-1812,1,VERY_HIGH
A-1813,1,VERY_HIGH
A-1814,1,VERY_HIGH
A-1815,1,VERY_HIGH
A-1816,0,HIGH
A-1817,0,VERY_HIGH
A-1818,0,HIGH
A-1819,0,HIGH
A-1820,0,HIGH
A-1821,1,VERY_HIGH
A-1822,0,VERY_HIGH
A-1823,1,VERY_HIGH
A-1824,1,VERY_HIGH
A-1825,1,VERY_HIGH
A-1826,1,VERY_HIGH
A-1827,1,VERY_HIGH
A-1828,0,HIGH
A-1829,1,VERY_HIGH
A-1830,1,VERY_HIGH
A-1831,0,HIGH
A-1832,0,VERY_HIGH
A-1833,1,VERY_HIGH
A-1834,1,VERY_HIGH
A-1835,1,VERY_HIGH
A-1836,0,HIGH
A-1837,0,HIGH
A-1838,1,VERY_HIGH
A-1839,0,VERY_HIGH
A-1840,1,VERY_HIGH
A-1841,0,HIGH
A-1842,1,VERY_HIGH
A-1843,0,HIGH
A-1844,0,HIGH
A-1845,0,HIGH
A-1846,0,VERY_HIGH
A-1847,0,HIGH
A-1848,0,HIGH
A-1849,0,HIGH
A-1850,1,VERY_HIGH
A-1851,0,HIGH
A-1852,0,HIGH
A-1853,1,VERY_HIGH
A-1854,1,VERY_HIGH
A-1855,1,VERY_HIGH
A-1856,1,VERY_HIGH
A-1857,0,HIGH
A-1858,1,VERY_HIGH
A-1859,1,VERY_HIGH
A-1860,1,VERY_HIGH
A-1861,0,VERY_HIGH
A-1862,1,VERY_HIGH
A-1863,0,HIGH
A-1864,1,VERY_HIGH
A-1865,0,HIGH
A-1866,1,VERY_HIGH
A-1867,1,VERY_HIGH
A-1868,1,VERY_HIGH
A-1869,0,HIGH
A-1870,1,VERY_HIGH
A-1871,1,VERY_HIGH
A-1872,0,VERY_HIGH
A-1873,0,HIGH
A-1874,1,VERY_HIGH
A-1875,1,VERY_HIGH
A-1876,0,HIGH
A-1877,1,VERY_HIGH
A-1878,0,HIGH
A-1879,1,VERY_HIGH
A-1880,0,HIGH
A-1881,1,VERY_HIGH
A-1882,1,VERY_HIGH
A-1883,1,VERY_HIGH
A-1884,0,HIGH
A-1885,1,VERY_HIGH
A-1886,1,VERY_HIGH
A-1887,1,VERY_HIGH
A-1888,0,VERY_HIGH
A-1889,0,HIGH
A-1890,1,VERY_HIGH
A-1891,0,HIGH
A-1892,1,VERY_HIGH
A-1893,0,HIGH
A-1894,1,VERY_HIGH
A-1895,1,VERY_HIGH
A-1896,1,VERY_HIGH
A-1897,1,VERY_HIGH
A-1898,0,HIGH
A-1899,1,VERY_HIGH
A-1900,1,VERY_HIGH
A-1901,0,VERY_HIGH
A-1902,0,HIGH
A-1903,0,HIGH
A-1904,1,VERY_HIGH
A-1905,1,VERY_HIGH
A-1906,1,VERY_HIGH
A-1907,1,VERY_HIGH
A-1908,1,VERY_HIGH
A-1909,1,VERY_HIGH
A-1910,0,HIGH
A-1911,0,VERY_HIGH
A-1912,0,HIGH
A-1913,0,HIGH
A-1914,0,HIGH
A-1915,1,VERY_HIGH
A-1916,0,HIGH
A-1917,1,VERY_HIGH
A-1918,1,VERY_HIGH
A-1919,0,HIGH
A-1920,0,HIGH
A-1921,0,VERY_HIGH
A-1922,0,HIGH
A-1923,1,VERY_HIGH
A-1924,1,VERY_HIGH
A-1925,1,VERY_HIGH
A-1926,0,HIGH
A-1927,1,VERY_HIGH
A-1928,0,VERY_HIGH
A-1929,1,VERY_HIGH
A-1930,1,VERY_HIGH
A-1931,0,HIGH
A-1932,0,HIGH
A-1933,0,HIGH
A-1934,1,VERY_HIGH
A-1935,0,VERY_HIGH
A-1936,0,HIGH
A-1937,0,HIGH
A-1938,0,HIGH
A-1939,1,VERY_HIGH
A-1940,1,VERY_HIGH
A-1941,0,HIGH
A-1942,0,HIGH
A-1943,0,HIGH
A-1944,1,VERY_HIGH
A-1945,0,VERY_HIGH
A-1946,1,VERY_HIGH
A-1947,0,HIGH
A-1948,0,HIGH
A-1949,1,VERY_HIGH
A-1950,1,VERY_HIGH
A-1951,0,HIGH
A-1952,1,VERY_HIGH
A-1953,1,VERY_HIGH
